userID,Treatment,sessionID,bookingID,bookingValue
SplitValidateV2_0,off,SplitValidateV2_0_0,SplitValidateV2_0_0_0,93.02874230082185
SplitValidateV2_2,off,SplitValidateV2_2_0,SplitValidateV2_2_0_0,114.03814131087086
SplitValidateV2_4,on,SplitValidateV2_4_1,SplitValidateV2_4_1_0,113.26546132813282
SplitValidateV2_5,off,SplitValidateV2_5_0,SplitValidateV2_5_0_0,93.74611487442289
SplitValidateV2_7,off,SplitValidateV2_7_0,SplitValidateV2_7_0_0,96.32383575521288
SplitValidateV2_7,off,SplitValidateV2_7_1,SplitValidateV2_7_1_0,113.65333343946406
SplitValidateV2_8,on,SplitValidateV2_8_1,SplitValidateV2_8_1_0,102.66225683969783
SplitValidateV2_9,off,SplitValidateV2_9_0,SplitValidateV2_9_0_0,122.92023123187252
SplitValidateV2_11,off,SplitValidateV2_11_0,SplitValidateV2_11_0_0,89.87190574153536
SplitValidateV2_12,on,SplitValidateV2_12_0,SplitValidateV2_12_0_0,105.85807561350798
SplitValidateV2_13,on,SplitValidateV2_13_0,SplitValidateV2_13_0_0,74.7938578673637
SplitValidateV2_13,on,SplitValidateV2_13_0,SplitValidateV2_13_0_1,105.03606688950842
SplitValidateV2_13,on,SplitValidateV2_13_1,SplitValidateV2_13_1_0,90.99583732637315
SplitValidateV2_13,on,SplitValidateV2_13_2,SplitValidateV2_13_2_0,110.16393828575912
SplitValidateV2_15,off,SplitValidateV2_15_0,SplitValidateV2_15_0_0,108.7767368274976
SplitValidateV2_17,on,SplitValidateV2_17_0,SplitValidateV2_17_0_0,92.51302146405874
SplitValidateV2_18,off,SplitValidateV2_18_0,SplitValidateV2_18_0_0,92.883016837385
SplitValidateV2_18,off,SplitValidateV2_18_0,SplitValidateV2_18_0_1,103.14536787261613
SplitValidateV2_19,on,SplitValidateV2_19_0,SplitValidateV2_19_0_0,115.97118032801352
SplitValidateV2_22,off,SplitValidateV2_22_0,SplitValidateV2_22_0_0,113.49177125537786
SplitValidateV2_24,off,SplitValidateV2_24_1,SplitValidateV2_24_1_0,83.6339093489077
SplitValidateV2_24,off,SplitValidateV2_24_2,SplitValidateV2_24_2_0,109.44974159476853
SplitValidateV2_25,off,SplitValidateV2_25_0,SplitValidateV2_25_0_0,106.42272214094359
SplitValidateV2_25,off,SplitValidateV2_25_1,SplitValidateV2_25_1_0,77.00019644944418
SplitValidateV2_27,off,SplitValidateV2_27_1,SplitValidateV2_27_1_0,86.91746359724675
SplitValidateV2_27,off,SplitValidateV2_27_2,SplitValidateV2_27_2_0,135.52008758606104
SplitValidateV2_30,off,SplitValidateV2_30_0,SplitValidateV2_30_0_0,101.84599090624116
SplitValidateV2_32,off,SplitValidateV2_32_0,SplitValidateV2_32_0_0,95.1230411312902
SplitValidateV2_33,off,SplitValidateV2_33_1,SplitValidateV2_33_1_0,92.04258107555431
SplitValidateV2_36,off,SplitValidateV2_36_0,SplitValidateV2_36_0_0,89.27762780267645
SplitValidateV2_37,off,SplitValidateV2_37_0,SplitValidateV2_37_0_0,98.4096003848136
SplitValidateV2_38,off,SplitValidateV2_38_0,SplitValidateV2_38_0_0,61.48605422255452
SplitValidateV2_39,off,SplitValidateV2_39_0,SplitValidateV2_39_0_0,110.52549681108708
SplitValidateV2_39,off,SplitValidateV2_39_1,SplitValidateV2_39_1_0,105.79477946300872
SplitValidateV2_40,off,SplitValidateV2_40_0,SplitValidateV2_40_0_0,103.0680249398407
SplitValidateV2_42,on,SplitValidateV2_42_0,SplitValidateV2_42_0_0,74.06874636160804
SplitValidateV2_42,on,SplitValidateV2_42_1,SplitValidateV2_42_1_0,73.00648514227879
SplitValidateV2_42,on,SplitValidateV2_42_2,SplitValidateV2_42_2_0,113.20686739914353
SplitValidateV2_43,on,SplitValidateV2_43_0,SplitValidateV2_43_0_0,77.64778435220053
SplitValidateV2_43,on,SplitValidateV2_43_1,SplitValidateV2_43_1_0,92.51366886833159
SplitValidateV2_46,on,SplitValidateV2_46_0,SplitValidateV2_46_0_0,102.82074219723579
SplitValidateV2_48,on,SplitValidateV2_48_0,SplitValidateV2_48_0_0,125.03249688589891
SplitValidateV2_52,on,SplitValidateV2_52_0,SplitValidateV2_52_0_0,80.65963628166139
SplitValidateV2_53,off,SplitValidateV2_53_0,SplitValidateV2_53_0_0,99.79352714190706
SplitValidateV2_55,off,SplitValidateV2_55_0,SplitValidateV2_55_0_0,124.16640920691566
SplitValidateV2_56,off,SplitValidateV2_56_0,SplitValidateV2_56_0_0,94.70103752230969
SplitValidateV2_56,off,SplitValidateV2_56_1,SplitValidateV2_56_1_0,85.53237109414633
SplitValidateV2_58,on,SplitValidateV2_58_0,SplitValidateV2_58_0_0,109.35989475037411
SplitValidateV2_60,off,SplitValidateV2_60_0,SplitValidateV2_60_0_0,106.2091305900713
SplitValidateV2_60,off,SplitValidateV2_60_1,SplitValidateV2_60_1_0,113.30015497112231
SplitValidateV2_61,off,SplitValidateV2_61_0,SplitValidateV2_61_0_0,72.17170534899707
SplitValidateV2_62,off,SplitValidateV2_62_0,SplitValidateV2_62_0_0,106.24318316095352
SplitValidateV2_62,off,SplitValidateV2_62_0,SplitValidateV2_62_0_1,90.04803201135974
SplitValidateV2_64,on,SplitValidateV2_64_2,SplitValidateV2_64_2_0,115.00792019990823
